age,gender,education,hours_per_week,occupation,income
39,Male,Bachelors,40,Tech-support,1
50,Male,Bachelors,13,Exec-managerial,1
38,Male,HS-grad,40,Handlers-cleaners,0
53,Male,11th,40,Handlers-cleaners,0
28,Female,Bachelors,40,Prof-specialty,0
37,Female,Masters,40,Exec-managerial,0
49,Female,9th,16,Other-service,0
52,Male,HS-grad,45,Exec-managerial,1
31,Female,Masters,50,Prof-specialty,1
42,Male,Bachelors,40,Exec-managerial,1
37,Male,Some-college,80,Exec-managerial,1
30,Male,Bachelors,40,Prof-specialty,1
23,Female,Bachelors,30,Adm-clerical,0
32,Male,Bachelors,50,Exec-managerial,1
34,Male,HS-grad,45,Craft-repair,0
25,Female,Some-college,35,Adm-clerical,0
43,Male,HS-grad,40,Transport-moving,0
54,Female,HS-grad,20,Other-service,0
35,Male,Some-college,40,Craft-repair,0
43,Male,Some-college,45,Transport-moving,1
59,Male,HS-grad,40,Tech-support,1
56,Male,HS-grad,40,Craft-repair,0
19,Female,Some-college,20,Other-service,0
20,Male,Some-college,40,Handlers-cleaners,0
45,Male,Bachelors,60,Prof-specialty,1
22,Female,Bachelors,20,Adm-clerical,0
48,Male,Masters,40,Exec-managerial,1
21,Female,Some-college,30,Other-service,0
19,Male,HS-grad,40,Farming-fishing,0
31,Male,Masters,40,Prof-specialty,1
48,Male,HS-grad,40,Craft-repair,0
33,Male,Bachelors,40,Tech-support,0
44,Male,Some-college,40,Machine-op-inspct,0
40,Male,Doctorate,60,Prof-specialty,1
34,Female,HS-grad,40,Adm-clerical,0
25,Male,Bachelors,45,Handlers-cleaners,0
52,Female,Bachelors,40,Adm-clerical,0
36,Male,HS-grad,40,Craft-repair,0
28,Female,HS-grad,40,Adm-clerical,0
24,Male,Bachelors,40,Tech-support,0
55,Male,Bachelors,60,Exec-managerial,1
44,Male,Some-college,40,Craft-repair,0
40,Male,HS-grad,40,Machine-op-inspct,0
51,Male,Some-college,40,Exec-managerial,1
38,Male,Some-college,50,Craft-repair,0
44,Female,Masters,35,Prof-specialty,1
37,Male,Some-college,45,Machine-op-inspct,0
60,Male,HS-grad,40,Craft-repair,1
36,Female,Bachelors,40,Adm-clerical,0
29,Male,Bachelors,40,Prof-specialty,0
62,Male,HS-grad,40,Craft-repair,1
35,Male,Bachelors,40,Prof-specialty,0
42,Male,Masters,45,Exec-managerial,1
45,Female,Bachelors,40,Prof-specialty,1
41,Male,Some-college,40,Craft-repair,0
50,Female,HS-grad,35,Adm-clerical,0
46,Male,HS-grad,40,Craft-repair,0
47,Male,HS-grad,40,Machine-op-inspct,0
43,Female,Bachelors,40,Adm-clerical,0
58,Male,HS-grad,40,Transport-moving,0
30,Male,Bachelors,40,Prof-specialty,0
22,Female,Some-college,30,Adm-clerical,0
53,Male,Bachelors,50,Exec-managerial,1
26,Female,Bachelors,40,Adm-clerical,0
38,Male,HS-grad,40,Handlers-cleaners,0
32,Female,Bachelors,40,Prof-specialty,0
41,Male,Bachelors,40,Exec-managerial,1
47,Male,Some-college,40,Craft-repair,0
28,Male,Some-college,40,Sales,0
49,Female,Bachelors,40,Adm-clerical,0
55,Male,Bachelors,55,Exec-managerial,1
34,Male,Bachelors,40,Prof-specialty,0
63,Male,HS-grad,40,Craft-repair,1
46,Male,Masters,50,Prof-specialty,1
33,Female,HS-grad,30,Other-service,0
27,Male,Bachelors,40,Prof-specialty,0
44,Male,HS-grad,40,Transport-moving,0
39,Male,Some-college,40,Sales,0
52,Male,Bachelors,55,Exec-managerial,1
36,Female,Bachelors,40,Prof-specialty,0
38,Female,Masters,40,Exec-managerial,1
42,Male,Some-college,40,Sales,0
24,Female,Bachelors,40,Adm-clerical,0
56,Male,Bachelors,50,Exec-managerial,1
43,Male,Bachelors,40,Prof-specialty,1
31,Female,Bachelors,35,Adm-clerical,0
45,Male,Some-college,45,Craft-repair,0
57,Male,HS-grad,40,Craft-repair,1
48,Male,Bachelors,45,Exec-managerial,1
29,Female,Some-college,35,Adm-clerical,0
37,Male,Bachelors,45,Prof-specialty,1
40,Female,Masters,40,Prof-specialty,1
26,Male,Bachelors,40,Adm-clerical,0
35,Male,Masters,50,Prof-specialty,1
41,Female,Bachelors,40,Exec-managerial,0
53,Male,Some-college,40,Sales,0
30,Male,Bachelors,40,Tech-support,0
